Email,Name,Birthday,PhoneNumber,Address,SellerID,,
sybex@seller.org,Sybex,1/1/00,8005556666,1 Book Dr.,112312,,
mcgrawhillosbornemedia@seller.org,McGrawHillOsborneMedia,1/2/00,9523859260,2 Book Dr.,131231,,
johnwiley&sons@seller.org,JohnWiley&Sons,1/3/00,3056341580,3 Book Dr.,123312,,
morgankaufmann@seller.org,MorganKaufmann,1/4/00,9102718979,4 Book Dr.,112221,,
"schmidtink,inc.@seller.org","SchmidtInk,Inc.",1/5/00,9731890794,5 Book Dr.,346432,,
addisonwesleypubco@seller.org,AddisonWesleyPubCo,1/6/00,9305054823,6 Book Dr.,22335,,
macromediapress@seller.org,MacromediaPress,1/7/00,8171861706,7 Book Dr.,90258,,
addisonwesleypublishing@seller.org,AddisonWesleyPublishing,1/8/00,8968262667,8 Book Dr.,252523,,
wroxpressinc@seller.org,WroxPressInc,1/9/00,2549377134,9 Book Dr.,948232,,
berkleypubgroup@seller.org,BerkleyPubGroup,1/10/00,3976671586,10 Book Dr.,89229,,
penguinusa@seller.org,PenguinUSA,1/11/00,4552052079,11 Book Dr.,589729,,
o'reilly&associates@seller.org,O'Reilly&Associates,1/12/00,7910315907,12 Book Dr.,974302,,
mcgrawhilltrade@seller.org,McGrawHillTrade,1/13/00,8770910082,13 Book Dr.,8932852,,
picador@seller.org,Picador,1/14/00,1028037062,14 Book Dr.,9238295,,
st.martin'spress@seller.org,St.Martin'sPress,1/15/00,3618661571,15 Book Dr.,10847953,,
crownpub@seller.org,CrownPub,1/16/00,1517364100,16 Book Dr.,174912746,,
littlebrown&company@seller.org,LittleBrown&Company,1/17/00,6179351448,17 Book Dr.,73259375,,
simon&schuster@seller.org,Simon&Schuster,1/18/00,2531733326,18 Book Dr.,2085083,,
harpercollins@seller.org,HarperCollins,1/19/00,7661333251,19 Book Dr.,2305230,,
josseybass@seller.org,JosseyBass,1/20/00,9853805459,20 Book Dr.,5609303,,
multnomahpublishersinc.@seller.org,MultnomahPublishersInc.,1/21/00,7203584909,21 Book Dr.,395792,,
perennial@seller.org,Perennial,1/22/00,6153490717,22 Book Dr.,23952800,,
dellpubco@seller.org,DellPubCo,1/23/00,3041752099,23 Book Dr.,5820582,,
harlequin@seller.org,Harlequin,1/24/00,5256320837,24 Book Dr.,203520,,
vikingpress@seller.org,VikingPress,1/25/00,1597292679,25 Book Dr.,29329,,
perseuspublishing@seller.org,PerseusPublishing,1/26/00,2106114898,26 Book Dr.,259280,,
knopf@seller.org,Knopf,1/27/00,8363605694,27 Book Dr.,2305802,,
"wolframmedia,inc.@seller.org","WolframMedia,Inc.",1/28/00,9368894279,28 Book Dr.,23022,,
fireside@seller.org,Fireside,1/29/00,255586265,29 Book Dr.,2020225,,
randomhousetradepaperbacks@seller.org,RandomHouseTradePaperbacks,1/30/00,8660818343,30 Book Dr.,252802,,
gibbssmithpublisher@seller.org,GibbsSmithPublisher,1/31/00,2880508980,31 Book Dr.,285028022,,
vendomepr@seller.org,VendomePr,2/1/00,85570253,32 Book Dr.,28898,,
clarksonn.potter@seller.org,ClarksonN.Potter,2/2/00,1183081429,33 Book Dr.,563,,
mitpress@seller.org,MITPress,2/3/00,7466023615,34 Book Dr.,25,,
mcgrawhill/irwin@seller.org,McGrawHill/Irwin,2/4/00,7911395846,35 Book Dr.,2232,,
southwesterncollegepub@seller.org,SouthWesternCollegePub,2/5/00,3408487969,36 Book Dr.,54745,,
prenticehall@seller.org,PrenticeHall,2/6/00,640389611,37 Book Dr.,111122,,
warnerbooks@seller.org,WarnerBooks,2/7/00,898020275,38 Book Dr.,42432,,
scribner@seller.org,Scribner,2/8/00,7987217108,39 Book Dr.,33636,,
pocketbooks@seller.org,PocketBooks,2/9/00,1725711831,40 Book Dr.,36466,,
pantheonbooks@seller.org,PantheonBooks,2/10/00,587841154,41 Book Dr.,36346,,
delrey@seller.org,DelRey,2/11/00,3812575833,42 Book Dr.,63646,,
doubleday@seller.org,Doubleday,2/12/00,7514519252,43 Book Dr.,4620523,,
"donaldm.grantpublisher,inc.@seller.org","DonaldM.GrantPublisher,Inc.",2/13/00,7916496985,44 Book Dr.,238592380,,
vintagebooks@seller.org,VintageBooks,2/14/00,7861266056,45 Book Dr.,84933849,,
scribnerpaperbackfiction@seller.org,ScribnerPaperbackFiction,2/15/00,8479433916,46 Book Dr.,123235,,
harvestbooks@seller.org,HarvestBooks,2/16/00,9196728882,47 Book Dr.,23524,,
harperperenniallibrary@seller.org,HarperperennialLibrary,2/17/00,640195074,48 Book Dr.,34344,,
w.w.norton&company@seller.org,W.W.Norton&Company,2/18/00,8090893136,49 Book Dr.,3634646,,
prenticehallptr@seller.org,PrenticeHallPTR,2/19/00,758465075,50 Book Dr.,346363,,
newriderspublishing@seller.org,NewRidersPublishing,2/20/00,9793397304,51 Book Dr.,366656,,
ballantinebooks@seller.org,BallantineBooks,2/21/00,208253149,52 Book Dr.,76686,,
randomhouse@seller.org,RandomHouse,2/22/00,7998748304,53 Book Dr.,5452,,
ballantinebooks@seller.org,BallantineBooks,2/23/00,3476200844,54 Book Dr.,5535353,,
backbaybooks@seller.org,BackBayBooks,2/24/00,7737973755,55 Book Dr.,2253,,
anchorbooks@seller.org,AnchorBooks,2/25/00,632336779,56 Book Dr.,5353008,,
putnampubgroup@seller.org,PutnamPubGroup,2/26/00,9111283188,57 Book Dr.,680484,,
silhouette@seller.org,Silhouette,2/27/00,4734483402,58 Book Dr.,300353,,
tauntonpr@seller.org,TauntonPr,2/28/00,3908574568,59 Book Dr.,540640,,
larkbooks@seller.org,LarkBooks,2/29/00,5401983585,60 Book Dr.,9036,,
wroxpressinc@seller.org,WroxPressInc,3/1/00,795569543,61 Book Dr.,11133409.34,,
